MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
5,5,75.0,10000,1,1,0,3,0,0,0,8,2,2,0,5,6,5,0,1994,1,1,6,6,4,0.0,3,4,2,2,5,4,6,0.0,6,0.0,763.0,763.0,1,2,1,4,763,892,0,1655,0.0,0.0,2,1,3,1,4,7,7,1,5,1,1993.0,0,2.0,440.0,5,5,2,157,84,0,0,0,0,3,4,2,0,4,2010,9,4,175900
0,5,64.0,7980,1,1,0,3,0,4,0,8,2,2,0,2,6,7,0,2007,1,1,6,6,4,0.0,3,2,2,2,5,4,0,935.0,6,0.0,233.0,1168.0,1,0,1,4,1187,0,0,1187,1.0,0.0,2,0,3,1,4,6,7,0,3,1,1992.0,0,2.0,420.0,5,5,2,483,21,0,0,0,0,3,0,4,500,3,2010,9,4,185000
5,5,63.0,8402,1,1,0,3,0,4,0,8,2,2,0,5,6,5,0,1998,1,1,13,14,4,0.0,3,4,2,2,5,4,6,0.0,6,0.0,789.0,789.0,1,2,1,4,789,676,0,1465,0.0,0.0,2,1,3,1,4,7,7,1,2,1,1998.0,0,2.0,393.0,5,5,2,0,75,0,0,0,0,3,4,2,0,5,2010,9,4,180400
0,5,85.0,10176,1,1,3,3,0,4,0,8,2,2,0,2,7,5,0,1990,1,1,6,6,4,0.0,3,4,2,2,5,1,2,637.0,6,0.0,663.0,1300.0,1,2,1,4,1341,0,0,1341,1.0,0.0,1,1,2,1,2,5,7,1,4,1,1990.0,3,2.0,506.0,5,5,2,192,0,0,0,0,0,3,4,2,0,2,2010,9,4,171500
11,5,60.0,6820,1,1,0,3,0,0,0,25,2,2,4,2,8,5,0,1985,1,1,6,6,4,0.0,2,4,2,2,5,0,2,368.0,1,1120.0,0.0,1488.0,1,4,1,4,1502,0,0,1502,1.0,0.0,1,1,1,1,2,4,7,0,3,1,1985.0,2,2.0,528.0,5,5,2,0,54,0,0,140,0,3,4,2,0,6,2010,9,4,212000
5,5,47.0,53504,1,1,1,1,0,1,1,25,2,2,0,5,8,5,0,2003,3,1,5,16,1,603.0,0,4,2,2,5,1,0,1416.0,6,0.0,234.0,1650.0,1,0,1,4,1690,1589,0,3279,1.0,0.0,3,1,4,1,0,12,4,1,2,3,2003.0,0,3.0,841.0,5,5,2,503,36,0,0,210,0,3,4,2,0,6,2010,9,4,538000
4,5,152.0,12134,1,1,0,0,0,4,1,8,2,2,0,0,8,7,0,2005,1,1,14,15,4,0.0,2,4,5,2,5,0,2,427.0,6,0.0,132.0,559.0,1,2,1,4,1080,672,0,1752,0.0,0.0,2,0,4,1,4,8,7,0,3,2,1988.0,2,2.0,492.0,5,5,2,325,12,0,0,0,0,3,4,2,0,6,2010,9,4,164000
0,5,88.0,11394,1,1,3,3,0,0,0,25,2,2,0,2,9,2,0,2010,3,1,13,14,5,350.0,2,4,2,0,5,0,2,1445.0,6,0.0,411.0,1856.0,1,0,1,4,1856,0,0,1856,1.0,0.0,1,1,1,1,0,8,7,1,0,1,2010.0,0,3.0,834.0,5,5,2,113,0,0,0,0,0,3,4,2,0,6,2010,6,5,394432
0,5,140.0,19138,1,1,3,3,0,0,0,8,2,2,0,2,4,5,0,1951,1,1,13,14,4,0.0,3,4,1,5,5,4,3,120.0,6,0.0,744.0,864.0,1,0,1,4,864,0,0,864,0.0,0.0,1,0,2,1,4,4,7,0,3,5,1951.0,3,2.0,400.0,5,5,2,0,0,0,0,0,0,3,4,2,0,6,2010,9,4,141000
0,5,85.0,13175,1,1,3,3,0,4,0,17,2,2,0,2,6,6,0,1988,1,1,9,10,5,119.0,3,4,1,2,5,4,0,790.0,5,163.0,589.0,1542.0,1,4,1,4,2073,0,0,2073,1.0,0.0,2,0,3,1,4,7,2,2,5,1,1978.0,3,2.0,500.0,5,5,2,349,0,0,0,0,0,3,2,2,0,2,2010,9,4,210000
0,5,105.0,11751,1,1,0,3,0,4,0,17,2,2,0,2,6,6,0,1977,3,1,9,10,1,480.0,3,4,1,2,5,4,1,705.0,6,0.0,1139.0,1844.0,1,0,1,4,1844,0,0,1844,0.0,0.0,2,0,3,1,4,7,7,1,5,1,1977.0,2,2.0,546.0,5,5,2,0,122,0,0,0,0,3,2,2,0,1,2010,0,4,190000
9,5,85.0,10625,1,1,3,3,0,4,0,17,2,2,0,6,7,6,0,1974,1,1,9,10,1,81.0,3,4,1,2,5,1,2,885.0,3,168.0,0.0,1053.0,1,4,1,4,1173,0,0,1173,1.0,0.0,2,0,3,1,2,6,7,2,5,1,1974.0,2,2.0,528.0,5,5,2,0,120,0,0,0,0,3,2,2,0,1,2010,9,3,170000
5,2,72.5,7500,1,1,3,3,0,4,0,24,2,2,0,5,7,5,0,2000,1,1,13,14,4,0.0,2,4,2,2,5,4,2,533.0,6,0.0,281.0,814.0,1,0,1,4,814,860,0,1674,1.0,0.0,2,1,3,1,2,7,7,0,3,1,2000.0,2,2.0,663.0,5,5,2,0,96,0,0,0,0,3,4,2,0,1,2010,9,4,216000
0,5,73.0,11241,1,1,0,3,0,1,0,15,2,2,0,2,6,7,0,1970,1,1,14,15,1,180.0,3,4,1,5,5,4,0,578.0,6,0.0,426.0,1004.0,1,0,1,4,1004,0,0,1004,1.0,0.0,1,0,2,1,4,5,7,1,5,1,1970.0,0,2.0,480.0,5,5,2,0,0,0,0,0,0,3,4,4,700,3,2010,9,4,149000
0,5,73.0,12537,1,1,0,3,0,1,0,15,2,2,0,2,5,6,0,2008,1,1,13,14,4,0.0,3,4,1,5,5,4,2,734.0,6,0.0,344.0,1078.0,1,0,1,4,1078,0,0,1078,1.0,0.0,1,1,3,1,4,6,7,1,1,1,1971.0,0,2.0,500.0,5,5,2,0,0,0,0,0,0,3,4,2,0,4,2010,9,4,149900
0,5,65.0,8450,1,1,3,3,0,4,0,15,2,2,0,2,5,6,0,1968,1,1,13,14,4,0.0,3,4,1,5,5,4,1,775.0,6,0.0,281.0,1056.0,1,0,1,4,1056,0,0,1056,1.0,0.0,1,0,3,1,4,6,7,1,1,1,1968.0,3,1.0,304.0,5,5,2,0,85,184,0,0,0,3,4,2,0,7,2010,9,4,142000
0,5,70.0,8400,1,1,3,3,0,0,0,15,2,2,0,2,4,5,0,1970,1,1,9,10,4,0.0,3,4,1,5,5,4,0,804.0,5,78.0,0.0,882.0,1,4,1,4,882,0,0,882,1.0,0.0,1,0,2,1,4,4,7,0,3,1,1970.0,0,2.0,525.0,5,5,2,240,0,0,0,0,0,3,2,2,0,4,2010,9,4,126000
0,5,70.0,10500,1,1,3,3,0,2,0,15,2,2,0,2,4,5,0,1971,1,1,6,6,4,0.0,3,4,1,5,5,4,0,432.0,6,0.0,432.0,864.0,1,4,1,4,864,0,0,864,0.0,0.0,1,0,3,1,4,5,7,1,4,6,0.0,1,0.0,0.0,3,3,2,0,0,0,0,0,0,3,4,2,0,4,2010,4,4,115000
11,4,26.0,5858,1,1,0,3,0,2,0,15,2,2,4,2,7,5,0,1999,1,1,8,8,4,0.0,2,4,2,2,5,4,2,1051.0,1,0.0,354.0,1405.0,1,0,1,4,1337,0,0,1337,1.0,0.0,2,0,2,1,2,5,7,1,1,1,1999.0,0,2.0,511.0,5,5,2,203,68,0,0,0,0,3,4,2,0,6,2010,9,4,184000
13,6,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,6,5,0,1971,1,1,6,6,1,504.0,3,4,1,5,5,4,5,156.0,6,0.0,327.0,483.0,1,4,1,4,483,504,0,987,0.0,0.0,1,1,2,1,4,5,7,0,3,5,1971.0,3,1.0,264.0,5,5,2,275,0,0,0,0,0,3,4,2,0,2,2010,0,4,96000
13,6,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,5,5,0,1971,1,1,6,6,1,492.0,3,4,1,5,5,4,5,300.0,6,0.0,225.0,525.0,1,4,1,4,525,567,0,1092,0.0,0.0,1,1,3,1,4,6,7,0,3,5,1997.0,3,1.0,320.0,5,5,2,0,0,0,0,0,0,3,4,2,0,3,2010,9,4,105500
13,6,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,6,5,0,1971,1,1,6,7,1,381.0,3,4,1,5,5,4,6,0.0,6,0.0,525.0,525.0,1,4,1,4,525,567,0,1092,0.0,0.0,1,1,3,1,4,6,7,0,3,5,1971.0,3,1.0,264.0,5,5,2,0,0,0,0,0,0,3,4,2,0,3,2010,9,3,88000
11,5,53.0,4043,1,1,3,3,0,4,0,16,2,2,4,2,6,5,0,1977,1,1,9,10,4,0.0,3,4,1,2,5,4,0,360.0,6,0.0,709.0,1069.0,1,4,1,4,1069,0,0,1069,0.0,0.0,2,0,2,1,4,4,7,1,1,1,1977.0,2,2.0,440.0,5,5,2,0,55,0,0,165,0,3,4,2,0,7,2010,9,4,127500
13,5,24.0,2280,1,1,3,3,0,2,0,16,2,2,3,5,6,6,0,1975,1,1,9,2,4,0.0,3,4,1,5,5,4,0,514.0,6,0.0,341.0,855.0,1,4,1,4,855,601,0,1456,0.0,0.0,2,1,3,1,2,6,7,1,5,1,1975.0,3,2.0,440.0,5,5,2,173,0,0,0,0,0,3,4,2,0,6,2010,9,4,149900
11,5,24.0,2280,1,1,3,3,0,2,0,16,2,2,3,2,7,6,0,1975,1,1,9,2,4,0.0,3,4,1,2,5,4,6,0.0,6,0.0,836.0,836.0,1,0,1,4,836,0,0,836,0.0,0.0,1,0,2,1,4,4,7,0,3,1,1975.0,3,1.0,308.0,5,5,2,0,30,0,0,0,0,3,4,2,0,6,2010,9,4,120000
13,5,24.0,2280,1,1,3,3,0,4,0,16,2,2,3,5,6,5,0,1978,1,1,9,2,4,0.0,3,4,1,2,5,4,0,311.0,6,0.0,544.0,855.0,1,1,1,4,855,601,0,1456,0.0,0.0,2,1,3,1,4,7,7,1,5,1,1978.0,3,2.0,440.0,5,5,2,26,0,0,0,0,0,3,4,2,0,7,2010,9,4,146000
5,5,102.0,12858,1,1,0,3,0,4,0,19,2,2,0,5,9,5,0,2010,1,1,13,14,5,162.0,0,4,2,0,5,4,6,0.0,6,0.0,1590.0,1590.0,1,0,1,4,1627,707,0,2334,0.0,0.0,2,1,3,1,0,10,7,1,2,1,2009.0,0,3.0,751.0,5,5,2,144,133,0,0,0,0,3,4,2,0,1,2010,6,5,376162
0,5,98.0,11478,1,1,3,3,0,4,0,19,2,2,0,2,8,5,0,2008,1,1,13,14,5,200.0,2,4,2,0,5,4,2,1218.0,6,0.0,486.0,1704.0,1,0,1,4,1704,0,0,1704,1.0,0.0,2,0,3,1,2,7,7,1,2,1,2008.0,2,3.0,772.0,5,5,2,0,50,0,0,0,0,3,4,2,0,5,2010,9,4,306000
0,5,83.0,10159,1,1,0,3,0,4,0,19,2,2,0,2,9,5,0,2010,3,1,13,14,5,450.0,0,4,2,0,5,0,2,1646.0,6,0.0,284.0,1930.0,1,0,1,4,1940,0,0,1940,1.0,0.0,2,1,3,1,0,8,7,1,2,1,2010.0,0,3.0,606.0,5,5,2,168,95,0,0,0,0,3,4,2,0,4,2010,6,5,395192
0,5,94.0,12883,1,1,0,3,0,0,0,19,2,2,0,2,8,5,0,2010,1,1,13,14,5,256.0,2,4,2,2,5,4,6,0.0,6,0.0,1544.0,1544.0,1,0,1,4,1544,0,0,1544,0.0,0.0,2,0,3,1,2,7,7,0,3,1,2009.0,2,3.0,868.0,5,5,2,0,35,0,0,0,0,3,4,2,0,6,2010,6,5,290941
0,5,95.0,12182,1,1,3,3,0,0,0,19,2,2,0,2,7,5,0,2005,1,1,13,14,1,226.0,2,4,2,2,5,2,1,1201.0,6,0.0,340.0,1541.0,1,0,1,4,1541,0,0,1541,0.0,0.0,2,0,3,1,2,7,7,1,2,1,2005.0,2,2.0,532.0,5,5,2,0,70,0,0,0,0,3,4,2,0,5,2010,6,5,220000
0,5,90.0,11520,1,1,3,3,0,4,0,19,4,2,0,2,9,5,0,2005,3,1,13,14,1,615.0,2,4,2,0,5,4,2,110.0,6,0.0,1588.0,1698.0,1,0,1,4,1698,0,0,1698,0.0,0.0,2,0,3,1,0,7,7,1,2,1,2005.0,0,3.0,730.0,5,5,2,192,74,0,0,0,0,3,4,2,0,6,2010,9,4,275000
0,5,79.0,14122,1,1,0,3,0,4,0,19,2,2,0,2,8,5,0,2006,3,1,5,5,1,240.0,2,4,2,0,5,4,2,28.0,6,0.0,1794.0,1822.0,1,0,1,4,1822,0,0,1822,0.0,0.0,2,0,3,1,0,8,7,1,2,1,2005.0,2,3.0,678.0,5,5,2,0,119,0,0,0,0,3,4,2,0,2,2010,9,4,259000
0,5,70.0,10171,1,1,0,3,0,4,0,19,2,2,0,2,7,5,0,2004,1,1,13,14,1,168.0,2,4,2,2,5,4,2,2.0,6,0.0,1515.0,1517.0,1,0,1,4,1535,0,0,1535,0.0,0.0,2,0,3,1,2,7,7,0,3,1,2004.0,2,2.0,532.0,5,5,2,0,0,0,0,0,0,3,4,2,0,3,2010,9,4,214000
0,5,100.0,12919,1,1,0,3,0,4,0,19,2,2,0,2,9,5,0,2010,3,1,13,14,5,760.0,0,4,2,0,5,1,2,2188.0,6,0.0,142.0,2330.0,1,0,1,4,2364,0,0,2364,1.0,0.0,2,1,2,1,0,11,7,2,2,1,2009.0,0,3.0,820.0,5,5,2,0,67,0,0,0,0,3,4,2,0,3,2010,6,5,611657
11,5,44.0,6371,1,1,0,3,0,4,0,19,2,2,4,2,7,5,0,2010,1,1,13,14,5,128.0,2,4,2,2,5,2,2,733.0,6,0.0,625.0,1358.0,1,0,1,4,1358,0,0,1358,1.0,0.0,2,0,2,1,2,6,7,1,2,1,2010.0,2,2.0,484.0,5,5,2,192,35,0,0,0,0,3,4,2,0,6,2010,6,5,224000
0,5,110.0,14300,1,1,3,1,0,4,1,19,2,2,0,2,9,5,0,2004,3,1,13,14,1,1095.0,0,4,2,0,5,1,2,1373.0,6,0.0,1473.0,2846.0,1,0,1,4,2696,0,0,2696,1.0,0.0,2,1,3,1,0,10,7,2,2,1,2003.0,0,3.0,958.0,5,5,2,220,150,0,0,0,0,3,4,2,0,6,2010,9,4,500000
5,5,105.0,13650,1,1,3,3,0,0,0,19,2,2,0,5,8,5,0,2002,1,1,13,14,1,232.0,2,4,2,2,5,1,2,578.0,6,0.0,1093.0,1671.0,1,0,1,4,1687,563,0,2250,1.0,0.0,2,1,3,1,2,7,7,1,0,1,2002.0,0,3.0,756.0,5,5,2,238,130,0,0,0,0,3,4,2,0,6,2010,9,4,320000
11,5,61.0,7658,1,1,3,3,0,4,0,19,2,2,4,2,9,5,0,2005,3,1,8,8,1,412.0,0,4,2,0,5,4,2,456.0,6,0.0,1296.0,1752.0,1,0,1,4,1752,0,0,1752,1.0,0.0,2,0,2,1,0,6,7,1,2,1,2005.0,2,2.0,576.0,5,5,2,196,82,0,0,0,0,3,4,2,0,2,2010,9,4,319900
11,5,41.0,7132,1,1,0,3,0,4,0,19,2,2,4,2,8,5,0,2006,1,1,13,14,5,178.0,2,4,2,2,5,2,2,24.0,6,0.0,1346.0,1370.0,1,0,1,4,1370,0,0,1370,0.0,0.0,2,0,2,1,2,6,7,1,2,1,2006.0,2,2.0,484.0,5,5,2,120,49,0,0,0,0,3,4,2,0,4,2010,9,4,205000
13,5,36.0,2628,1,1,3,3,0,4,0,19,2,2,3,5,7,5,0,2003,1,1,13,16,5,106.0,2,4,2,2,5,4,6,0.0,6,0.0,764.0,764.0,1,0,1,4,764,862,0,1626,0.0,0.0,2,1,2,1,2,6,7,0,3,3,2003.0,2,2.0,474.0,5,5,2,0,27,0,0,0,0,3,4,2,0,6,2010,9,4,175500
0,5,100.0,18494,1,1,0,3,0,0,0,8,2,2,0,2,6,5,0,2005,1,1,13,14,4,0.0,2,4,2,2,5,4,6,0.0,6,0.0,1324.0,1324.0,1,0,1,4,1324,0,0,1324,0.0,0.0,2,0,3,1,2,6,7,0,3,1,2005.0,0,2.0,430.0,5,5,2,36,23,0,0,0,0,3,4,2,0,1,2010,9,4,199500
11,5,43.0,3203,1,1,3,3,0,4,0,0,2,2,4,2,7,5,0,2006,1,1,13,14,1,14.0,2,4,2,2,5,0,2,16.0,6,0.0,1129.0,1145.0,1,0,1,4,1145,0,0,1145,0.0,0.0,2,0,2,1,2,6,7,0,3,1,2006.0,0,2.0,437.0,5,5,2,100,116,0,0,0,0,3,4,2,0,1,2010,9,4,160000
11,5,43.0,3182,1,1,3,3,0,4,0,0,2,2,4,2,8,5,0,2005,1,1,13,14,1,16.0,2,4,2,2,5,4,2,24.0,6,0.0,1232.0,1256.0,1,0,1,4,1269,0,0,1269,0.0,0.0,2,0,2,1,2,6,7,1,5,1,2004.0,0,2.0,430.0,5,5,2,146,20,0,0,144,0,3,4,2,0,4,2010,9,4,192000
8,5,67.0,13300,1,1,0,3,0,4,0,8,2,2,0,7,7,5,0,2004,1,1,13,14,4,0.0,2,4,2,2,5,4,2,326.0,6,0.0,58.0,384.0,1,0,1,4,744,630,0,1374,1.0,0.0,2,1,3,1,2,7,7,1,2,3,2004.0,0,2.0,400.0,5,5,2,100,0,0,0,0,0,3,4,2,0,6,2010,9,4,184500
5,5,64.0,7851,1,1,3,3,0,4,0,8,2,2,0,5,6,5,0,2002,1,1,13,14,3,0.0,2,4,2,2,5,4,2,625.0,6,0.0,235.0,860.0,1,0,1,4,860,1100,0,1960,1.0,0.0,2,1,4,1,2,8,7,2,5,3,2002.0,0,2.0,440.0,5,5,2,288,48,0,0,0,0,3,4,2,0,5,2010,9,4,216500
5,5,63.0,8577,1,1,0,3,0,4,0,8,2,2,0,5,7,5,0,2004,1,1,13,14,4,0.0,2,4,2,2,5,4,6,0.0,6,0.0,847.0,847.0,1,0,1,4,847,886,0,1733,0.0,0.0,2,1,3,1,2,7,7,1,2,3,2004.0,0,2.0,433.0,5,5,2,144,48,0,0,0,0,3,4,2,0,4,2010,9,4,185088
8,5,64.0,7750,1,1,0,3,0,4,0,8,2,2,0,7,7,5,0,2000,1,1,13,14,4,0.0,3,4,2,2,5,4,2,250.0,6,0.0,134.0,384.0,1,0,1,4,774,656,0,1430,0.0,0.0,2,1,3,1,4,7,7,1,5,3,2000.0,0,2.0,400.0,5,5,2,180,0,0,0,0,0,3,4,2,0,4,2010,9,4,180000
5,5,64.0,9505,1,1,0,3,0,1,0,8,2,2,0,5,7,5,0,2001,1,1,13,14,1,180.0,2,4,2,2,5,4,6,0.0,6,0.0,884.0,884.0,1,0,1,4,884,1151,0,2035,0.0,0.0,2,1,3,1,2,8,7,1,2,3,2001.0,0,2.0,434.0,5,5,2,144,48,0,0,0,0,3,4,2,0,5,2010,9,4,222500
5,5,108.0,14774,1,1,0,3,0,0,0,18,2,2,0,5,9,5,0,1999,1,1,13,14,1,165.0,2,4,2,2,5,4,6,0.0,6,0.0,1393.0,1393.0,1,0,1,4,1422,1177,0,2599,0.0,0.0,2,1,4,1,2,10,7,1,5,3,1999.0,0,3.0,779.0,5,5,2,668,30,0,0,0,0,3,4,2,0,5,2010,9,4,333168
5,5,60.0,17433,1,1,1,3,0,1,0,18,2,2,0,5,8,5,0,1998,3,1,13,14,1,114.0,2,4,2,0,5,4,6,0.0,6,0.0,1629.0,1629.0,1,0,1,4,1645,830,0,2475,0.0,0.0,2,1,4,1,2,7,7,1,5,1,1998.0,0,3.0,962.0,5,5,2,23,172,0,0,256,0,3,4,2,0,1,2010,9,4,355000
0,5,59.0,10593,1,1,0,3,0,4,0,18,2,2,0,2,7,5,0,1996,3,1,13,14,1,338.0,2,4,2,2,5,4,2,919.0,6,0.0,801.0,1720.0,1,0,1,4,1720,0,0,1720,1.0,0.0,2,0,3,1,2,7,7,1,5,1,1996.0,0,2.0,527.0,5,5,2,240,56,154,0,0,0,3,4,2,0,3,2010,9,4,260400
5,5,98.0,12256,1,1,0,3,0,0,0,18,2,2,0,5,8,5,0,1995,1,1,6,6,1,362.0,2,4,2,0,5,0,2,1032.0,6,0.0,431.0,1463.0,1,0,1,4,1500,1122,0,2622,1.0,0.0,2,1,3,1,2,9,7,2,5,1,1994.0,2,2.0,712.0,5,5,2,186,32,0,0,0,0,3,4,2,0,4,2010,9,4,325000
5,5,92.0,11764,1,1,0,3,0,1,0,18,2,2,0,5,8,7,0,2007,1,1,13,14,1,348.0,2,4,2,2,5,4,2,524.0,6,0.0,628.0,1152.0,1,0,1,4,1164,1106,0,2270,0.0,0.0,2,1,4,1,2,9,7,1,2,1,1999.0,0,3.0,671.0,5,5,2,132,57,0,0,0,0,3,4,2,0,4,2010,9,4,290000
5,5,58.0,16770,1,1,1,3,0,1,0,18,2,2,0,5,7,5,0,1998,1,1,13,14,1,30.0,2,4,2,2,5,4,6,0.0,6,0.0,1195.0,1195.0,1,2,1,4,1195,644,0,1839,0.0,0.0,2,1,4,1,4,7,7,0,3,1,1998.0,0,2.0,486.0,5,5,2,0,81,0,0,0,0,3,4,2,0,6,2010,9,4,221000
4,5,56.0,14720,1,1,0,3,0,1,0,18,2,2,0,0,8,5,0,1996,3,1,13,14,1,579.0,2,4,2,2,5,0,2,816.0,6,0.0,1217.0,2033.0,1,0,1,4,2053,1185,0,3238,1.0,0.0,2,1,4,1,2,9,7,1,0,1,1996.0,0,3.0,666.0,5,5,2,283,86,0,0,0,0,3,4,2,0,3,2010,9,4,410000
0,5,73.0,8987,1,1,3,3,0,4,0,24,2,2,0,2,8,5,0,2006,1,1,13,14,1,226.0,2,4,2,2,5,3,6,0.0,6,0.0,1595.0,1595.0,1,0,1,4,1595,0,0,1595,0.0,0.0,2,0,2,1,2,6,7,1,2,1,2005.0,2,3.0,880.0,5,5,2,144,0,0,0,0,0,3,4,2,0,5,2010,9,4,221500
